1619	task	22:37:10	COMPLETED	0	2019-10-20 1428
161	task	23:30:02	CANCELLED	0	2019-09-12 1351
1620	gputask	00:08:04	COMPLETED	0	2019-10-19 1559
1621	task	22:13:40	COMPLETED	0	2019-10-20 1405
1622	gputask	22:29:41	COMPLETED	0	2019-10-20 1421
1623	task	22:21:39	COMPLETED	0	2019-10-20 1413
1624	gputask	22:26:18	COMPLETED	0	2019-10-20 1417
1625	task	16:35:10	COMPLETED	0	2019-10-20 1404
1626	gputask	00:05:16	COMPLETED	0	2019-10-19 1557
1627	task	1-14:26:16	COMPLETED	0	2019-10-22 0431
1628	gputask	22:24:56	COMPLETED	0	2019-10-20 1422
1629	task	1-14:32:48	COMPLETED	0	2019-10-22 0438
162	gputask	00:07:01	COMPLETED	0	2019-09-11 1427
1630	gputask	22:19:32	COMPLETED	0	2019-10-20 1419
1631	task	16:37:40	COMPLETED	0	2019-10-21 0651
1632	gputask	1-14:05:22	COMPLETED	0	2019-10-22 0423
1633	task	15:05:39	NODE_FAIL	0	2019-10-21 0534
1633	task	22:52:01	COMPLETED	0	2019-10-22 0430
1634	gputask	1-13:34:25	COMPLETED	0	2019-10-22 0354
1635	task	02:28:20	COMPLETED	0	2019-10-20 2244
1636	gputask	1-13:57:46	COMPLETED	0	2019-10-22 0419
1637	task	1-04:56:02	COMPLETED	0	2019-10-22 0434
1638	gputask	1-13:57:16	COMPLETED	0	2019-10-22 0419
1639	task	21:43:04	COMPLETED	0	2019-10-22 0434
163	task	23:37:49	CANCELLED	0	2019-09-12 1358
1640	gputask	1-02:05:45	COMPLETED	0	2019-10-23 0600
1646	task	00:00:00	CANCELLED	0	2019-10-21 0924
1646	task	00:00:00	PENDING	0	2019-10-21 0913
1647	gputask	1-01:22:52	COMPLETED	0	2019-10-23 0542
1648	task	00:00:00	CANCELLED	0	2019-10-21 0924
1648	task	00:00:00	PENDING	0	2019-10-21 0915
1649	gputask	1-01:29:11	COMPLETED	0	2019-10-23 0549
164	gputask	23:32:37	CANCELLED	0	2019-09-12 1353
165	task	23:37:49	CANCELLED	0	2019-09-12 1358
1666	task	19:12:23	COMPLETED	0	2019-10-22 0438
1667	gputask	1-01:17:11	COMPLETED	0	2019-10-23 0540
1668	task	1-01:12:40	COMPLETED	0	2019-10-23 0543
1669	gputask	1-22:34:56	COMPLETED	0	2019-10-25 0415
166	gputask	00:06:39	COMPLETED	0	2019-09-11 1427
1670	task	1-01:20:21	COMPLETED	0	2019-10-23 0551
1671	gputask	1-12:47:16	COMPLETED	0	2019-10-24 1829
1672	task	1-01:05:19	COMPLETED	0	2019-10-23 0539
1673	gputask	1-22:15:06	COMPLETED	0	2019-10-25 0404
167	task	23:29:59	CANCELLED	0	2019-09-12 1351
1684	task	1-01:16:29	COMPLETED	0	2019-10-23 0551
1685	gputask	19:14:00	COMPLETED	0	2019-10-24 0114
1686	task	1-01:08:00	COMPLETED	0	2019-10-23 0546
1687	gputask	1-03:02:27	COMPLETED	0	2019-10-25 0416
168	gputask	23:31:10	CANCELLED	0	2019-09-12 1358
1693	task	20:37:12	COMPLETED	0	2019-10-23 0537
1694	gputask	09:43:51	COMPLETED	0	2019-10-25 0413
1695	task	1-22:30:04	COMPLETED	0	2019-10-25 0408
1696	gputask	00:02:02	COMPLETED	0	2019-10-25 0406
1697	task	1-22:41:18	COMPLETED	0	2019-10-25 0420
1698	gputask	00:02:31	COMPLETED	0	2019-10-25 0408
1699	task	1-22:27:45	COMPLETED	0	2019-10-25 0411
169	task	05:37:31	CANCELLED	0	2019-09-12 1351
1700	gputask	00:02:02	COMPLETED	0	2019-10-25 0410
1701	task	1-22:28:32	COMPLETED	0	2019-10-25 0415
1702	gputask	00:02:30	COMPLETED	0	2019-10-25 0413
170	gputask	23:26:22	CANCELLED	0	2019-09-12 1354
171	task	00:01:54	CANCELLED	0	2019-09-12 1352
172	gputask	00:00:51	CANCELLED	0	2019-09-12 1351
1802	task	00:03:25	COMPLETED	0	2019-10-25 0907
1803	gputask	00:03:19	COMPLETED	0	2019-10-25 0907
1804	task	00:02:30	COMPLETED	0	2019-10-25 0913
